Nombre 1;77843402V;123456789;email@email.com;1º A
Nombre 2;93839721C;123456789;email@email.com;2º A
Nombre 3;07842998K;123456789;email@email.com;3º A
Nombre 4;00548678J;123456789;email@email.com;4º A
Nombre 5;35849097D;123456789;email@email.com;5º A
Nombre 6;98523686N;123456789;email@email.com;6º A
Nombre 7;07804804F;123456789;email@email.com;7º A
Nombre 8;26810393Y;123456789;email@email.com;8º A
Nombre 9;64427553E;123456789;email@email.com;9º A
Nombre 10;42312153L;123456789;email@email.com;10º A
